month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
61.83581423,63.46486438,60.16099814,1,1988,1.0,New Hampshire,1,1.0,53.37,115.77125441129292,19423.51
30.91042561,30.36804238,31.91997862,0,1988,0.0,New Hampshire,0,1.0,45.65,115.77125441129292,19423.51
42.17921897,36.74886167,47.88430137,0,1992,0.0,New Hampshire,1,1.0,43.01,118.99967917869743,21158.640000000003
33.83553742,34.25023867,35.94932273,1,1992,1.0,New Hampshire,0,1.0,37.45,118.99967917869743,21158.640000000003
50.77699352,49.918377,50.6564893,0,1996,0.5,New Hampshire,1,0.6,49.23,124.13303390011764,22257.260000000002
35.60322155,35.0445728,36.83759707,1,1996,0.5,New Hampshire,0,0.6,40.72,124.13303390011764,22257.260000000002
40.92993603,41.05487014,40.34045857,0,2000,0.0,New Hampshire,0,0.3,48.38,132.5935194096888,23120.43
42.97673906,44.98802529,43.92651337,1,2000,1.0,New Hampshire,1,0.3,47.87,132.5935194096888,23120.43
45.99403481,46.4627525,47.3708049,1,2004,1.0,New Hampshire,0,0.5,50.73,137.96609988236548,24010.939999999995
47.38704342,48.6662515,45.70616133,0,2004,0.0,New Hampshire,1,0.5,48.27,137.96609988236548,24010.939999999995
50.64464497,52.28463025,46.59402453,0,2008,0.0,New Hampshire,1,0.3,52.93,140.72355897764945,24864.25
42.13444761,41.46718525,46.31800437,1,2008,1.0,New Hampshire,0,0.3,45.66,140.72355897764945,24864.25
48.42736581,48.32045017,48.53570963,0,2012,1.0,New Hampshire,1,0.2,51.06,141.3000748583039,26117.8
47.09661248,47.3736715,45.25403397,1,2012,0.0,New Hampshire,0,0.2,47.2,141.3000748583039,26117.8
38.03187806,41.5518475,37.87587967,1,2016,0.0,New Hampshire,0,0.1,46.09,142.74355683884076,27591.97
45.02508516,44.44218625,42.92865667,0,2016,1.0,New Hampshire,1,0.1,48.18000000000001,142.74355683884076,27591.97
42.65325129,42.83695333,43.010549,1,2020,0.0,New Hampshire,0,0.0,46.525,146.64207036680568,29220.57
53.51104871,53.88103667,50.414527,0,2020,1.0,New Hampshire,1,0.0,52.46,146.64207036680568,29220.57
