month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI,GDP
28.72255816,31.01198571,29.6472664,0,2000,0.5666666666666667,Texas,0,1.0,48.38,77.97625101916971,294873.51,689648.35
60.12751103,60.28344943,58.69795067,1,2000,0.43333333333333335,Texas,1,1.0,47.87,77.97625101916971,294873.51,689648.35
58.23984735,58.686303,59.209006099999996,1,2004,0.43333333333333335,Texas,1,1.0,50.73,83.37282065219415,315206.49,731370.33
35.49166029,36.233143,33.12935797,0,2004,0.5666666666666667,Texas,0,1.0,48.27,83.37282065219415,315206.49,731370.33
41.35132848,43.06437225,39.47058063,0,2008,0.34375,Texas,0,1.0,52.93,90.50241436182293,335600.1900000001,762739.75
51.39056271,54.757718000000004,51.59213023,1,2008,0.65625,Texas,1,1.0,45.66,90.50241436182293,335600.1900000001,762739.75
39.47919771,39.01321583,39.65156287,0,2012,0.375,Texas,0,1.0,51.06,97.14938514748644,356031.44,796667.3800000001
56.13861609999999,57.62798967,52.50874283,1,2012,0.625,Texas,1,1.0,47.2,97.14938514748644,356031.44,796667.3800000001
44.16924,48.0835,43.64373133,1,2016,0.6666666666666666,Texas,1,1.0,46.09,103.73228692372702,379050.64,846742.2300000001
39.21701742,39.00557375,35.806782,0,2016,0.33333333333333337,Texas,0,1.0,48.18000000000001,103.73228692372702,379050.64,846742.2300000001
48.11876194,48.57353,47.57088067,1,2020,0.6944444444444444,Texas,1,1.0,46.525,109.7252057885116,405070.19,911440.5
46.73574452,47.44320667,46.34298533,0,2020,0.3055555555555556,Texas,0,1.0,52.46,109.7252057885116,405070.19,911440.5
